CountryName,E3,E3D,E3R,F1,H1B,H1B1,J1,L1,O1,TN
Fiji,0,0,0,87,6,0,5,2,0,0
Kiribati,0,0,0,6,0,0,2,0,0,0
Marshall Islands,0,0,0,0,1,0,0,2,0,0
Federated States of Micronesia,0,0,0,0,0,0,0,0,0,0
Nauru,0,0,0,0,0,0,0,0,0,0
New Zealand,0,0,0,328,463,0,2087,339,46,0
Palau,0,0,0,0,0,0,0,0,0,0
Papua New Guinea,0,0,0,20,1,0,17,1,0,0
Samoa,0,0,0,41,1,0,4,0,0,0
Solomon Islands,0,0,0,1,2,0,0,0,0,0
Tonga,0,0,0,28,2,0,5,1,0,0
Tuvalu,0,0,0,2,0,0,1,0,0,0
Vanuatu,0,0,0,0,0,0,2,0,0,0
Argentina,0,0,0,3446,627,0,1695,318,77,0
Bolivia,0,0,0,520,52,0,183,9,3,0
Brazil,0,0,0,13985,1581,0,6095,1135,178,0
Chile,0,0,0,1170,156,0,931,136,24,0
Colombia,0,0,0,6035,812,0,1321,387,29,0
Ecuador,0,0,0,1030,138,0,562,45,1,0
Guyana,0,0,0,96,22,0,16,6,0,0
Paraguay,0,0,0,311,14,0,125,10,3,0
Peru,0,0,0,1089,330,0,525,72,22,0
Suriname,0,0,0,28,6,0,11,4,0,0
Uruguay,0,0,0,163,51,0,191,24,6,0
Venezuela,0,0,0,3401,975,0,1346,441,53,0
